sent_id, resolution
"library#02", "important digital materials"
"library#03", "material"
"library#04", "resources"
"library#05", "Allows"
"library#07", "AIPs"
"library#11", "the expected and actual rates"
"library#12-a", "This function"
"library#12-b", "This function"
"library#18", "a record of event - driven events"
"library#19", "archive Consumers"
"library#21", "This function"
"weather#01", "data"
"weather#02", "The Clarus system"
"weather#03", "databases"
"weather#05", "new observation types"
"weather#07", "CS"
"weather#08", "environmental data"
"weather#12", "new environmental data services"
"weather#13", "The DOG"
"weather#14", "observations"
"weather#15", "The QEDC"
"weather#17", "QChS"
"weather#18", "The contributors"
"weather#19", "The Clarus program"
"weather#20", "contributors"
"railway#01", "command control"
"railway#02", "the screen"
"railway#05", "Any change in device state"
"railway#08", "The devices"
"railway#09", "The normal operating mode"
"railway#10", "ETCS"
"railway#12", "a line"
"railway#13", "ETCS"
"railway#14", "an ETCS equipped train"
"railway#15", "request of the RBC"
"railway#16", "The braking curves"
"railway#18", "A train"
"railway#19", "the braking curve area"
"railway#20", "The ETCS trainborne equipment"
"railway#22", "The train"
"railway#23", "only one mobile user"
"railway#24", "the text message facility"
"railway#27", "network services"
"railway#29", "An indication"
"railway#30", "a driver"
"railway#32", "the driver"
"railway#35", "the Cab radio"
"railway#36", "the MMI"
"railway#38", "Non leading drivers"
"railway#39", "Each type of equipment"
"railway#41", "the call"
"railway#44", "The Operational radio"
"railway#45", "Controls"
"railway#48", "the connection"
"railway#51", "The shunting leader"
"railway#52", "the safety device"
"railway#54", "Each authority"
"railway#59", "the railway specific standards"
"railway#61", "the mobile"
"railway#62", "The Cab radio system"
"home#03", "users"
"space#01", "The FCP"
"space#02-a", "Each rate group"
"space#02-b", "Each rate group"
"space#10", "Tasks"
"space#12", "Messages"
"space#13", "the ICPs"
"space#20", "Redundancy Management"
