sent_id, decision
"library#01","AMBIGUOUS"
"library#02","UNAMBIGUOUS"
"library#03","UNAMBIGUOUS"
"library#04","UNAMBIGUOUS"
"library#05","AMBIGUOUS"
"library#06","UNAMBIGUOUS"
"library#07","UNAMBIGUOUS"
"library#08","AMBIGUOUS"
"library#09","AMBIGUOUS"
"library#10","UNAMBIGUOUS"
"library#11","AMBIGUOUS"
"library#12","UNAMBIGUOUS"
"library#13","UNAMBIGUOUS"
"library#14","AMBIGUOUS"
"library#15","UNAMBIGUOUS"
"library#16","AMBIGUOUS"
"library#17","UNAMBIGUOUS"
"library#18","UNAMBIGUOUS"
"library#19","AMBIGUOUS"
"library#20","AMBIGUOUS"
"library#21","UNAMBIGUOUS"
"library#22","AMBIGUOUS"
"library#23","AMBIGUOUS"
"library#24","UNAMBIGUOUS"
"library#25","AMBIGUOUS"
"weather#01","UNAMBIGUOUS"
"weather#02","UNAMBIGUOUS"
"weather#03","UNAMBIGUOUS"
"weather#04","AMBIGUOUS"
"weather#05","UNAMBIGUOUS"
"weather#06","UNAMBIGUOUS"
"weather#07","UNAMBIGUOUS"
"weather#08","UNAMBIGUOUS"
"weather#09","UNAMBIGUOUS"
"weather#10","AMBIGUOUS"
"weather#11","AMBIGUOUS"
"weather#12","UNAMBIGUOUS"
"weather#13","AMBIGUOUS"
"weather#14","UNAMBIGUOUS"
"weather#15","UNAMBIGUOUS"
"weather#16","AMBIGUOUS"
"weather#17","UNAMBIGUOUS"
"weather#18","AMBIGUOUS"
"weather#19","UNAMBIGUOUS"
"weather#20","UNAMBIGUOUS"
"railway#01","UNAMBIGUOUS"
"railway#02","UNAMBIGUOUS"
"railway#03","AMBIGUOUS"
"railway#04","UNAMBIGUOUS"
"railway#05","UNAMBIGUOUS"
"railway#06","UNAMBIGUOUS"
"railway#07","UNAMBIGUOUS"
"railway#08","AMBIGUOUS"
"railway#09","AMBIGUOUS"
"railway#10","UNAMBIGUOUS"
"railway#11","UNAMBIGUOUS"
"railway#12","UNAMBIGUOUS"
"railway#13","UNAMBIGUOUS"
"railway#14","AMBIGUOUS"
"railway#15","UNAMBIGUOUS"
"railway#16","AMBIGUOUS"
"railway#17","UNAMBIGUOUS"
"railway#18","AMBIGUOUS"
"railway#19","AMBIGUOUS"
"railway#20","UNAMBIGUOUS"
"railway#21","UNAMBIGUOUS"
"railway#22","AMBIGUOUS"
"railway#23","UNAMBIGUOUS"
"railway#24","UNAMBIGUOUS"
"railway#25","UNAMBIGUOUS"
"railway#26","AMBIGUOUS"
"railway#27","UNAMBIGUOUS"
"railway#28","AMBIGUOUS"
"railway#29","UNAMBIGUOUS"
"railway#30","UNAMBIGUOUS"
"railway#31","AMBIGUOUS"
"railway#32","UNAMBIGUOUS"
"railway#33","AMBIGUOUS"
"railway#34","UNAMBIGUOUS"
"railway#35","AMBIGUOUS"
"railway#36","AMBIGUOUS"
"railway#37","AMBIGUOUS"
"railway#38","UNAMBIGUOUS"
"railway#39","UNAMBIGUOUS"
"railway#40","UNAMBIGUOUS"
"railway#41","AMBIGUOUS"
"railway#42","UNAMBIGUOUS"
"railway#43","UNAMBIGUOUS"
"railway#44","UNAMBIGUOUS"
"railway#45","UNAMBIGUOUS"
"railway#46","UNAMBIGUOUS"
"railway#47","AMBIGUOUS"
"railway#48","AMBIGUOUS"
"railway#49","UNAMBIGUOUS"
"railway#50","UNAMBIGUOUS"
"railway#51","UNAMBIGUOUS"
"railway#52","AMBIGUOUS"
"railway#53","UNAMBIGUOUS"
"railway#54","UNAMBIGUOUS"
"railway#55","UNAMBIGUOUS"
"railway#56","UNAMBIGUOUS"
"railway#57","UNAMBIGUOUS"
"railway#58","UNAMBIGUOUS"
"railway#59","UNAMBIGUOUS"
"railway#60","UNAMBIGUOUS"
"railway#61","UNAMBIGUOUS"
"railway#62","AMBIGUOUS"
"home#01","AMBIGUOUS"
"home#02","UNAMBIGUOUS"
"home#03","UNAMBIGUOUS"
"space#01","AMBIGUOUS"
"space#02","UNAMBIGUOUS"
"space#03","UNAMBIGUOUS"
"space#04","UNAMBIGUOUS"
"space#05","UNAMBIGUOUS"
"space#06","AMBIGUOUS"
"space#07","UNAMBIGUOUS"
"space#08","UNAMBIGUOUS"
"space#09","UNAMBIGUOUS"
"space#10","UNAMBIGUOUS"
"space#11","AMBIGUOUS"
"space#12","UNAMBIGUOUS"
"space#13","UNAMBIGUOUS"
"space#14","UNAMBIGUOUS"
"space#15","UNAMBIGUOUS"
"space#16","UNAMBIGUOUS"
"space#17","AMBIGUOUS"
"space#18","AMBIGUOUS"
"space#19","AMBIGUOUS"
"space#20","UNAMBIGUOUS"
